Series_Title,IMDB_Rating,Runtime,Released_Year,Genre
Darbareye Elly,8,119,2009,"Drama, Mystery"
Dev.D,8,144,2009,"Drama, Romance"
Yip Man,8,106,2008,"Action, Biography, Drama"
My Name Is Khan,8,165,2010,Drama
Nefes: Vatan Sagolsun,8,128,2009,"Action, Drama, Thriller"
Slumdog Millionaire,8,120,2008,"Drama, Romance"
Black Swan,8,108,2010,"Drama, Thriller"
Tropa de Elite,8,115,2007,"Action, Crime, Drama"
The Avengers,8,143,2012,"Action, Adventure, Sci-Fi"
Persepolis,8,96,2007,"Animation, Biography, Drama"
Dallas Buyers Club,8,117,2013,"Biography, Drama"
The Pursuit of Happyness,8,117,2006,"Biography, Drama"
Blood Diamond,8,143,2006,"Adventure, Drama, Thriller"
The Bourne Ultimatum,8,115,2007,"Action, Mystery, Thriller"
Bin-jip,8,88,2004,"Crime, Drama, Romance"
Sin City,8,124,2005,"Crime, Thriller"
Le scaphandre et le papillon,8,112,2007,"Biography, Drama"
G.O.R.A.,8,127,2004,"Adventure, Comedy, Sci-Fi"
Ratatouille,8,111,2007,"Animation, Adventure, Comedy"
Casino Royale,8,144,2006,"Action, Adventure, Thriller"
Kill Bill: Vol. 2,8,137,2004,"Action, Crime, Thriller"
Vozvrashchenie,8,110,2003,Drama
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,8,103,2003,"Drama, Romance"
Mar adentro,8,126,2014,"Biography, Drama"
Cinderella Man,8,144,2005,"Biography, Drama, History"
Kal Ho Naa Ho,8,186,2003,"Comedy, Drama, Musical"
Mou gaan dou,8,101,2002,"Action, Crime, Drama"
Pirates of the Caribbean: The Curse of the Black Pearl,8,143,2003,"Action, Adventure, Fantasy"
Big Fish,8,125,2003,"Adventure, Drama, Fantasy"
The Incredibles,8,115,2004,"Animation, Action, Adventure"
Yeopgijeogin geunyeo,8,137,2001,"Comedy, Drama, Romance"
Dogville,8,178,2003,"Crime, Drama"
Vizontele,8,110,2001,"Comedy, Drama"
Donnie Darko,8,113,2001,"Drama, Mystery, Sci-Fi"
Magnolia,8,188,1999,Drama
Dancer in the Dark,8,140,2000,"Crime, Drama, Musical"
The Straight Story,8,112,1999,"Biography, Drama"
Pâfekuto burû,8,81,1997,"Animation, Crime, Mystery"
Festen,8,105,1998,Drama
Central do Brasil,8,110,1998,Drama
The Iron Giant,8,86,1999,"Animation, Action, Adventure"
Knockin' on Heaven's Door,8,87,1997,"Action, Crime, Comedy"
Sling Blade,8,135,1996,Drama
Secrets & Lies,8,136,1996,"Comedy, Drama"
Twelve Monkeys,8,129,1995,"Mystery, Sci-Fi, Thriller"
Kôkaku Kidôtai,8,83,1995,"Animation, Action, Crime"
The Nightmare Before Christmas,8,76,1993,"Animation, Family, Fantasy"
Groundhog Day,8,101,1993,"Comedy, Fantasy, Romance"
Bound by Honor,8,180,1993,"Crime, Drama"
Scent of a Woman,8,156,1992,Drama
Aladdin,8,90,1992,"Animation, Adventure, Comedy"
JFK,8,189,1991,"Drama, History, Thriller"
Beauty and the Beast,8,84,1991,"Animation, Family, Fantasy"
Dances with Wolves,8,181,1990,"Adventure, Drama, Western"
Do the Right Thing,8,120,1989,"Comedy, Drama"
Rain Man,8,133,1988,Drama
Akira,8,124,1988,"Animation, Action, Sci-Fi"
The Princess Bride,8,98,1987,"Adventure, Family, Fantasy"
Der Himmel über Berlin,8,128,1987,"Drama, Fantasy, Romance"
Au revoir les enfants,8,104,1987,"Drama, War"
Tenkû no shiro Rapyuta,8,125,1986,"Animation, Adventure, Drama"
The Terminator,8,107,1984,"Action, Sci-Fi"
